Income Score,Credit Score,Asset Value,Debt Value,Risk Tolerance,ID
4,730,29837.345308581,28806.90919769044,2.5,1
4,610,484221.997510884,173375.38342233023,1.5,2
4,442,148100.5437558549,111935.01360864603,3.0,3
3,845,491564.88325845,398274.3410266476,1.5,4
4,401,367617.55664746306,330428.7352439826,2.0,5
4,873,59343.59195349924,25765.316240871154,3.0,6
5,509,483637.12020767183,230699.63464286109,3.0,7
3,363,404463.635236381,221928.91508101395,1.0,8
3,708,358024.17758236855,281066.07850207627,1.0,9
5,805,415751.0064179104,138501.2686011114,2.0,10
2,495,459339.29486632545,101837.31135614144,1.5,11
5,758,54695.817376810664,54325.06470847488,3.0,12
4,411,157708.92813891877,45907.597953114775,1.0,13
5,640,409088.7630127546,221023.9524515591,3.0,14
5,594,228044.6228750029,135980.01247503853,2.5,15
4,889,128632.5059999634,23651.49455515018,1.5,16
1,566,243500.1860845966,21872.248666057076,1.5,17
3,339,422805.5093386894,379752.5440500385,3.0,18
4,837,145060.71944294233,117735.44437669897,1.5,19
5,729,294050.5552653469,132488.33168697087,2.0,20
2,632,310263.721469949,150925.9883904332,2.0,21
3,548,17942.423063738,4863.077734516689,1.5,22
4,474,172942.71311763118,141106.2245827388,1.0,23
3,524,32164.69325415005,18458.22504229834,3.0,24
5,375,23081.42938448055,14656.705579772835,3.0,25
5,422,201692.61056818516,74654.49084175625,1.0,26
1,322,105349.56828434262,102261.97399844832,1.0,27
4,515,366306.062432869,22375.767675297564,1.0,28
5,735,314093.9857790999,262551.99681166164,1.0,29
3,373,326993.60271930805,114543.88640983193,1.5,30
2,815,238894.30149864824,142496.84894486415,2.5,31
3,566,185692.0976426849,135852.02411482256,3.0,32
3,508,483608.9624911598,28073.95671556562,1.5,33
3,650,269442.36928848026,31582.106363657098,2.5,34
3,313,241096.45339718112,98826.73712140469,3.0,35
4,618,327977.40902754903,127465.87584251368,2.0,36
3,874,348503.15135787276,159598.48314862873,1.0,37
4,346,276716.55384922586,37311.79789632666,2.5,38
4,594,339967.69514686306,200675.34451467826,3.0,39
3,617,200128.44530312778,82936.82769957534,1.0,40
1,496,352305.51759791985,56396.989406201574,1.5,41
5,758,195537.55445831627,171178.14913116803,3.0,42
4,332,207110.86680834898,145356.5417646811,2.5,43
2,469,228222.5729622266,59161.435450207326,1.5,44
4,840,443623.2989189039,402827.63698298833,3.0,45
1,339,252345.50848389053,78746.49686865702,2.5,46
2,725,102120.63408490572,102061.44082494274,1.0,47
3,315,206890.24288414634,140378.13423504864,2.0,48
1,518,17002.743940717188,12832.88595020658,3.0,49
5,400,103325.3658433475,62858.98233774054,1.5,50
4,586,347384.6019765171,63300.81999151644,2.5,51
4,383,20704.294626487615,18921.26378690072,1.0,52
3,436,330247.8251995452,269902.70327034156,2.0,53
3,458,146420.80945601666,2719.6680743272336,1.0,54
3,565,283594.31068755296,268422.73941384826,3.0,55
2,806,359055.24973295844,324122.81856710033,2.5,56
4,850,97361.27668502633,36566.84333580988,2.0,57
1,441,84001.35519335401,28006.756427340406,2.0,58
3,646,391914.28880440944,13977.806404000714,2.0,59
3,453,491137.89436139964,142199.57380737827,2.5,60
5,432,153769.43071409492,73511.73201987463,1.5,61
2,615,97997.55603036226,51257.64438772433,1.0,62
4,712,419424.2704732354,125502.43906026466,1.0,63
3,874,455242.20165442245,215786.92097817926,2.0,64
3,790,66843.95106734106,33270.54190187907,1.0,65
4,643,370027.9856971215,330952.9483406912,1.5,66
5,878,194029.95970098718,189093.9387088781,1.0,67
2,386,107039.73835286565,23662.067476182612,2.5,68
1,400,202965.89637303763,105340.05701681413,2.5,69
4,898,360059.12067635544,78224.12094844125,1.0,70
4,525,494344.93846865185,128982.76866063337,1.5,71
4,496,185674.9871846741,11856.823851784962,1.0,72
5,762,378694.8166168576,76378.1691205636,2.5,73
4,562,111543.66697437062,4696.147651781476,1.5,74
5,449,61268.54782555488,28085.995265772952,2.0,75
5,454,61325.67818804117,36564.85153221688,2.5,76
3,877,208894.37275229493,142033.44289005603,3.0,77
4,630,418431.41469535255,417671.14386444166,1.5,78
5,524,14755.283122568937,10411.235325020034,2.0,79
4,336,267302.61856838886,233751.66514414604,3.0,80
3,688,295644.60832064855,212311.7509122211,2.5,81
2,386,263098.62237988936,240870.54275221212,1.0,82
3,433,29909.69305649146,457.1738448200378,2.5,83
4,464,402316.2701943632,349490.33745808725,2.5,84
4,817,197293.954875576,104527.84871211115,1.0,85
5,392,342499.96482678596,275750.142925201,3.0,86
2,736,453832.5544429045,93537.0824193495,3.0,87
5,727,414591.3424085734,199921.5684391194,2.5,88
5,900,124449.83711201798,107621.32492084776,1.0,89
1,486,158196.60342008108,90214.24487825073,2.0,90
2,805,431342.8768395162,406733.4808804724,2.0,91
4,693,406918.3915704706,25334.234021051878,1.5,92
3,593,367430.8254321734,122730.95132165759,1.0,93
4,727,79043.38986424477,70345.57282273096,3.0,94
2,455,407041.363146051,143592.72925011264,1.0,95
5,777,199474.67271128553,9381.875488224317,2.5,96
3,320,25908.076563232557,15995.657446899708,2.0,97
3,862,328006.20637735206,63952.557652665535,2.5,98
3,361,308958.6740240495,144341.9132295595,2.0,99
3,603,396397.5807731931,50385.74962323145,2.5,100
